Timestamp,X,Y,Z
2025-03-13 12:16:25,16.343733333333333,-4.243914948453609,38.76768421052632
2025-03-13 12:16:27,16.103137500000003,-4.128225515463921,37.997039473684225
2025-03-13 12:16:30,13.75215,-3.384190721649485,30.759394736842104
2025-03-13 12:16:33,12.431000000000003,-3.015708762886599,26.71484210526316
2025-03-13 12:16:36,12.465829166666664,-3.080382731958765,26.85946052631578
2025-03-13 12:16:39,12.713000000000006,-3.1832680412371146,27.593157894736862
2025-03-13 12:16:41,14.164512500000006,-3.674769329896909,32.060144736842126
2025-03-13 12:16:44,16.163420833333333,-4.323849226804124,38.13498684210526
2025-03-13 12:16:47,17.422679166666672,-4.7430657216494865,41.93553947368423
2025-03-13 12:16:49,17.20463333333333,-4.699721649484537,41.16271052631578
2025-03-13 12:16:52,15.930175,-4.291891752577322,37.222368421052636
2025-03-13 12:16:55,15.758512500000004,-4.231601804123715,36.650355263157905
2025-03-13 12:17:03,13.962945833333327,-3.3863157216494852,30.47340789473682
2025-03-13 12:17:06,11.638074999999995,-2.134907216494848,22.016315789473676
2025-03-13 12:17:09,9.239229166666666,-0.5303414948453625,12.897565789473685
2025-03-13 12:17:14,5.683570833333332,3.5999497422680413,-3.764197368421055
2025-03-13 12:17:19,5.412583333333331,7.70191237113402,-6.938157894736845
2025-03-13 12:17:28,9.751329166666666,12.727094072164949,-11.832828947368425
2025-03-13 12:17:31,7.605154166666669,15.07655025773196,-6.950486842105253
2025-03-13 12:17:34,3.7009500000000024,17.40694587628866,2.40605263157894
2025-03-13 12:17:37,-1.5053208333333317,19.200189432989692,16.291223684210532
2025-03-13 12:17:56,-4.3210375,11.183720360824742,20.36619736842105
2025-03-13 12:17:59,-0.6987875000000004,8.277694587628865,15.356486842105262
2025-03-13 12:18:01,4.182920833333333,5.004251288659792,16.182250000000003
2025-03-13 12:18:04,9.874220833333334,1.3878414948453608,27.658065789473685
2025-03-13 12:18:17,15.399641666666668,-3.4449278350515478,34.98221052631579
